iter	Passed	Remaining
689	3590	1613
690	3596	1608
691	3602	1603
692	3606	1597
693	3611	1592
694	3616	1587
695	3620	1581
696	3625	1575
697	3630	1570
698	3635	1565
699	3643	1561
700	3648	1556
701	3653	1551
702	3658	1545
703	3662	1539
704	3668	1534
705	3671	1528
706	3677	1524
707	3683	1519
708	3688	1513
709	3693	1508
710	3698	1503
711	3702	1497
712	3709	1492
713	3713	1487
714	3719	1482
715	3723	1477
716	3727	1471
717	3731	1465
718	3736	1460
719	3741	1454
720	3745	1449
721	3751	1444
722	3755	1438
723	3760	1433
724	3764	1427
725	3770	1422
726	3775	1417
727	3781	1412
728	3786	1407
729	3791	1402
730	3797	1397
731	3800	1391
732	3805	1386
733	3810	1380
734	3817	1376
735	3821	1370
736	3826	1365
737	3831	1360
738	3835	1354
739	3840	1349
740	3845	1343
741	3849	1338
742	3855	1333
743	3859	1327
744	3863	1322
745	3868	1317
746	3873	1312
747	3879	1306
748	3882	1301
749	3887	1295
750	3892	1290
751	3898	1285
752	3904	1280
753	3910	1275
754	3915	1270
755	3922	1265
756	3927	1260
757	3933	1255
758	3937	1250
759	3940	1244
760	3945	1239
761	3951	1234
762	3955	1228
763	3962	1223
764	3968	1219
765	3973	1213
766	3978	1208
767	3983	1203
768	3988	1198
769	3995	1193
770	4001	1188
771	4006	1183
772	4010	1177
773	4014	1172
774	4019	1166
775	4025	1161
776	4029	1156
777	4033	1150
778	4037	1145
779	4042	1140
780	4048	1135
781	4053	1130
782	4058	1124
783	4064	1119
784	4069	1114
785	4075	1109
786	4079	1104
787	4083	1098
788	4089	1093
789	4094	1088
790	4100	1083
791	4104	1077
792	4109	1072
793	4115	1067
794	4122	1063
795	4127	1057
796	4131	1052
797	4137	1047
798	4141	1041
799	4146	1036
800	4151	1031
801	4155	1025
802	4161	1020
803	4167	1015
804	4171	1010
805	4175	1005
806	4181	1000
807	4187	995
808	4191	989
809	4195	984
810	4200	978
811	4206	974
812	4212	968
813	4216	963
814	4221	958
815	4227	953
816	4233	948
817	4237	942
818	4243	937
819	4248	932
820	4254	927
821	4261	922
822	4265	917
823	4270	912
824	4275	906
825	4281	901
826	4286	896
827	4292	891
828	4297	886
829	4303	881
830	4309	876
831	4315	871
832	4319	865
833	4323	860
834	4327	855
835	4331	849
836	4336	844
837	4340	839
838	4344	833
839	4350	828
840	4355	823
841	4359	818
842	4368	813
